name,lightyears,planet mass,stellar magnitude,discovery year,hyperlink,planet type,discovery data,mass,planet radius,orbital radius,orbital period,eccentricity,detection method
2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7066/2mass-j214029311625183-a-b/,Gas Giant,20.95 Jupiters,Unknown,0.26,Gas Giant,20.95 Jupiters,Unknown,0.26,Gas Giant,20.95 Jupiters,Unknown,0.26,Gas Giant,20.95 Jupiters,Unknown,0.26
2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7239/2mass-j223624524751425-b/,Gas Giant,12.5 Jupiters,230.0 AU,0.0,Gas Giant,12.5 Jupiters,230.0 AU,0.0,Gas Giant,12.5 Jupiters,230.0 AU,0.0,Gas Giant,12.5 Jupiters,230.0 AU,0.0
24 Sextantis c,235,0.86 Jupiters,6.4535,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6995/24-sextantis-c/,Gas Giant,0.86 Jupiters,2.08 AU,0.29,Gas Giant,0.86 Jupiters,2.08 AU,0.29,Gas Giant,0.86 Jupiters,2.08 AU,0.29,Gas Giant,0.86 Jupiters,2.08 AU,0.29
2M0437 b,419,4 Jupiters,16.186,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8353/2m0437-b/,Gas Giant,4 Jupiters,118.0 AU,0.0,Gas Giant,4 Jupiters,118.0 AU,0.0,Gas Giant,4 Jupiters,118.0 AU,0.0,Gas Giant,4 Jupiters,118.0 AU,0.0
2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7671/2mass-j01033563-5515561-ab-b/,Gas Giant,13 Jupiters,84.0 AU,0.0,Gas Giant,13 Jupiters,84.0 AU,0.0,Gas Giant,13 Jupiters,84.0 AU,0.0,Gas Giant,13 Jupiters,84.0 AU,0.0
2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7062/2mass-j01225093-2439505-b/,Gas Giant,24.5 Jupiters,52.0 AU,0.0,Gas Giant,24.5 Jupiters,52.0 AU,0.0,Gas Giant,24.5 Jupiters,52.0 AU,0.0,Gas Giant,24.5 Jupiters,52.0 AU,0.0
2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7063/2mass-j02192210-3925225-b/,Gas Giant,13.9 Jupiters,156.0 AU,0.0,Gas Giant,13.9 Jupiters,156.0 AU,0.0,Gas Giant,13.9 Jupiters,156.0 AU,0.0,Gas Giant,13.9 Jupiters,156.0 AU,0.0
2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7064/2mass-j044144892301513-b/,Gas Giant,7.5 Jupiters,15.0 AU,0.0,Gas Giant,7.5 Jupiters,15.0 AU,0.0,Gas Giant,7.5 Jupiters,15.0 AU,0.0,Gas Giant,7.5 Jupiters,15.0 AU,0.0
2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7065/2mass-j12073346-3932539-b/,Gas Giant,5 Jupiters,55.0 AU,0.0,Gas Giant,5 Jupiters,55.0 AU,0.0,Gas Giant,5 Jupiters,55.0 AU,0.0,Gas Giant,5 Jupiters,55.0 AU,0.0
2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7108/2mass-j193832604603591-b/,Gas Giant,1.9 Jupiters,0.92 AU,0.0,Gas Giant,1.9 Jupiters,0.92 AU,0.0,Gas Giant,1.9 Jupiters,0.92 AU,0.0,Gas Giant,1.9 Jupiters,0.92 AU,0.0
